Nv_data,tmake_SH_data,teig_SH_data,tfixP_SH_data,tmake_LR_data,teig_LR_data,tfixP_LR_data,Nv_data_log,tmake_SH_data_log,teig_SH_data_log,tfixP_SH_data_log,tmake_LR_data_log,teig_LR_data_log,tfixP_LR_data_log
10.0,0.0009483,0.0005883,0.0,0.0003427,0.0004916,0.0,1.0,-3.0230542494407575,-3.2304011516125533,-Inf,-3.4650858955701325,-3.308388125785583,-Inf
18.0,0.000334,0.000288,0.0,0.0002043,0.0002549,0.0,1.2552725051033058,-3.476253533188435,-3.540607512240769,-Inf,-3.6897316333675523,-3.593630164530732,-Inf
32.0,0.0029162,0.0007668,0.0,0.0007373,0.0010417,0.0,1.5051499783199058,-2.535182694374016,-3.1153178957939747,-Inf,-3.132355766096901,-2.982257335838501,-Inf
57.0,0.0015563,0.0003652,0.0,0.0007105,0.0005183,0.0,1.7558748556724912,-2.8079066825479653,-3.4374692311377384,-Inf,-3.148435917736511,-3.2854187911604686,-Inf
100.0,0.0244429,0.0013643,0.0,0.0035044,0.0025649,0.0,2.0,-1.6118472689989873,-2.865090120868121,-Inf,-2.4553863283378274,-2.590929562440972,-Inf
178.0,0.0617002,0.001759,0.0,0.0024256,0.0055231,0.0,2.2504200023088936,-1.2097134282073483,-2.7547341605425384,-Inf,-2.6151808160480403,-2.2578170934674278,-Inf
317.0,0.3283802,0.0010846,0.0,0.0027259,0.0055674,0.0,2.501059262217751,-0.4836230369666647,-2.964730399900563,-Inf,-2.564490080359301,-2.2543475748935147,-Inf
563.0,0.5355375,0.004314,0.0,0.005568,0.0075529,0.0,2.7505083948513462,-0.2712101131181043,-2.3651198592334732,-Inf,-2.2543007733974942,-2.121886265300938,-Inf
1000.0,3.7496541,0.0090048,0.0,0.0103204,0.0065959,0.0,2.9999999999999996,0.5739912065570585,-2.045525928581367,-Inf,-1.9863034699155684,-2.1807259372872827,-Inf
1779.0,14.4021602,0.0272551,0.0,0.0239746,0.008926,0.0,3.2501759480839247,1.158427637413174,-1.5645522201903654,-Inf,-1.6202486300068057,-2.0493431174954893,-Inf
3163.0,0.0,0.0,0.0,0.0623658,0.0242573,0.0,3.5000991919157225,-Inf,-Inf,-Inf,-1.2050535023532636,-1.6151575406647287,-Inf
5624.0,0.0,0.0,0.0,0.183562,0.0595417,0.0,3.750045312011767,-Inf,-Inf,-Inf,-0.7362172190955307,-1.2251787697887333,-Inf
10000.0,0.0,0.0,0.0,0.6320833,0.0623186,0.0,4.0,-Inf,-Inf,-Inf,-0.19922568382768333,-1.2053823117396025,-Inf
17783.0,0.0,0.0,0.0,3.3671693,0.2286016,0.0,4.250005028486895,-Inf,-Inf,-Inf,0.5272649530995005,-0.6409207342699614,-Inf
31623.0,0.0,0.0,0.0,12.7500254,0.2161001,0.0,4.500003068051693,-Inf,-Inf,-Inf,1.1055110499518448,-0.6653450321475862,-Inf
56235.0,0.0,0.0,0.0,43.7480926,0.3389796,0.0,4.750006699477232,-Inf,-Inf,-Inf,1.640959122698837,-0.46982643711849237,-Inf
100000.0,0.0,0.0,0.0,114.7331228,0.4475312,0.0,5.0,-Inf,-Inf,-Inf,2.0596888143496055,-0.34917668210114133,-Inf
